"ID","MonthlyIncome"
871,4122.08123442352
872,3397.07317125317
873,11767.5652404843
874,3478.84682823403
875,4340.61995827814
876,7540.37299233612
877,4689.83760123226
878,2840.00573061377
879,5358.34103702566
880,14803.3533806092
881,14512.3015240263
882,3729.43618305698
883,3478.23552975498
884,3392.99807346333
885,4334.126668915
886,3165.20209388782
887,5010.77711891029
888,3647.11588204097
889,4959.98116586954
890,3740.3041180609
891,4745.27007311552
892,4590.06425654314
893,4812.92581865198
894,3724.58430473316
895,15891.4882927396
896,5583.87934429837
897,4808.27604203136
898,10127.3196503176
899,5175.00835511198
900,3468.19041318643
901,3349.09267292876
902,4436.89841906933
903,8037.80048943496
904,3666.14077133752
905,12282.8663571739
906,3203.91008061179
907,9699.44619521828
908,3931.93429136323
909,2797.18134525088
910,2507.10827360939
911,12286.7994799199
912,3782.52777736159
913,3728.59998047513
914,6603.62752750153
915,3897.30940352484
916,3582.76134139027
917,2938.42845970907
918,3451.81236920647
919,2576.6210932386
920,4846.5881473104
921,3203.91008061179
922,2579.29441612088
923,4095.73720442865
924,4419.42048824957
925,25826.9785570986
926,5005.40454100316
927,5083.28868422279
928,10494.5628386259
929,2624.03044492286
930,4382.01272356315
931,7447.59748703884
932,4900.05723533183
933,4941.02380779266
934,2688.03576578531
935,2530.06830426362
936,3065.27356327417
937,6692.98548452005
938,7527.40726131429
939,8292.17547147653
940,2522.39169226112
941,6241.69758541819
942,5200.07432854249
943,17199.6139858101
944,3155.59838937781
945,2423.13262410507
946,3647.20729106892
947,2553.23860226577
948,3141.58584563341
949,4394.71412052869
950,4355.21675746166
951,4657.86579046377
952,4647.52709431607
953,3975.78233372989
954,3679.62294503685
955,4233.41459392623
956,4134.62947429905
957,24061.7642355419
958,5085.86182031063
959,9132.9791084102
960,32909.7605138366
961,3890.48934151858
962,5037.38271307932
963,5629.67958133191
964,5050.73004470169
965,2794.28219234713
966,15153.8806852195
967,3738.43260949966
968,4818.63214970749
969,17301.2812818101
970,3452.22593603287
971,4210.70267922496
972,5071.39886449279
973,3345.30238420623
974,2507.10827360939
975,3487.51211147503
976,3302.49188650511
977,7895.95434139386
978,3830.29620652667
979,8887.13144123083
980,9672.86644331209
981,3903.45342174355
982,6256.02127500061
983,3396.23295990652
984,3338.37146634831
985,4017.7108693103
986,3970.32392649652
987,2539.72117441741
988,3812.71359999087
989,10311.4583625879
990,3031.42189586756
991,5370.62278952547
992,3490.65604154939
993,5889.93693523983
994,3124.19030217392
995,3696.14252834798
996,7906.28093378257
997,3007.86441975968
998,15306.6620542756
999,5584.82497555559
1000,2716.03983138275
1001,6282.92788268536
1002,3187.47820998897
1003,4848.46973932095
1004,8064.56324714056
1005,4616.30638122312
1006,4181.44593645873
1007,2771.79729956162
1008,4561.29523619219
1009,13221.1044346911
1010,5899.98711084205
1011,6632.27457824478
1012,4823.08554006545
1013,6498.21262531775
1014,4936.83907027419
1015,4471.37233013404
1016,4294.83481200121
1017,4971.55364113013
1018,4959.4668814082
1019,5616.04306495204
1020,2386.59425935408
1021,4692.85142397989
1022,3545.99419041313
1023,3775.80247911041
1024,13065.2379011802
1025,9647.7320633948
1026,8881.94172100454
1027,4138.03050164357
1028,3450.85341433894
1029,2929.83946941126
1030,10837.2409936542
1031,3155.59838937781
1032,5025.73951214878
1033,4788.72712979241
1034,2507.10827360939
1035,5306.31267949028
1036,2595.01788399125
1037,3994.21407176282
1038,7171.44534776491
1039,4228.84283196043
1040,5333.02764246928
1041,4014.72830905762
1042,3482.41086908583
1043,4899.59862333881
1044,8964.33416945301
